Epoch Num,Average FID,Average Generator Loss,Average Discriminator Loss
0,71.6399322999428,4764.4287109375,58.8975715637207
1,84.6764084350679,4743.3916015625,7.116462707519531
2,80.13171006333579,4742.134765625,5.080160617828369
3,57.380868784413614,4741.05126953125,3.7933619022369385
4,93.61402620308886,4738.79345703125,4.309218406677246
5,77.19677612620478,4738.2880859375,3.566824436187744
6,76.64883930218687,4743.19677734375,3.5860581398010254
7,58.88678879330074,4737.72216796875,3.327918291091919
8,66.10588103438866,4740.22802734375,3.075185775756836
9,71.0079220080693,4738.46728515625,2.6226673126220703
