Epoch Num,Average FID,Average Generator Loss,Average Discriminator Loss
0,79.17944801466058,5907.31396484375,8.743751525878906
1,40.05115117794674,5594.24609375,0.5608906149864197
2,35.089899349062875,5485.52734375,0.013827275484800339
3,69.84523115828375,5413.2822265625,0.003560104174539447
4,36.198247523856224,5349.38037109375,0.006511779967695475
5,47.93496298398959,5296.61181640625,0.05750034376978874
6,29.384675400551203,5258.29345703125,14.75040054321289
7,32.09139331074179,5189.22314453125,0.016182448714971542
8,41.28213780838932,5123.0234375,0.008152278140187263
9,28.623707601715665,5038.8486328125,0.0009655993198975921
10,61.14624189675305,4944.29443359375,0.0022587482817471027
11,38.54061308378607,4856.380859375,0.007537293713539839
12,42.270094525484694,4753.67724609375,0.0013499753549695015
13,51.83058357357015,4661.72900390625,6.1385722160339355
14,31.291719752607904,4542.6630859375,0.04195871576666832
15,30.035022227806223,4434.69775390625,0.014620129950344563
16,43.2252098630099,4335.865234375,0.1039474606513977
17,35.021652657747396,4221.1376953125,0.008164854720234871
18,37.27664410278161,4120.14697265625,0.016557447612285614
19,24.304143368811005,4024.078369140625,2.5932886600494385
20,20.64092651580359,3925.457763671875,0.011565960943698883
21,24.233794163480134,3827.434814453125,0.002813765313476324
22,21.599702752033778,3735.53515625,0.00040054507553577423
23,35.156306777415544,3657.493408203125,0.008206073194742203
24,18.1522555066084,3564.811279296875,0.0010603258851915598
25,23.784314677099353,3490.34423828125,0.0008781884680502117
26,23.55620673305868,3407.222900390625,0.0011327151441946626
27,32.82299351495779,3335.3974609375,0.0016050885897129774
28,12.343519854175273,3258.148193359375,0.00189529440831393
29,12.13710483951452,3195.0322265625,0.0014505897415801883
30,26.199808075604096,3134.11083984375,0.001447925460524857
31,31.310384139571916,3082.72216796875,6.987946107983589e-05
